Neighbourhood,ReligiousBuildingCount,CrimeCount,CrimePerRB
Frankford,7,5930,847.1429
"Edmondson Village",4,1575,393.7500
"Seton Hill",2,8400,4200.0000
Downtown,2,8400,4200.0000
"Federal Hill",2,3298,1649.0000
Irvington,3,2786,928.6667
Allendale,2,2786,1393.0000
Belair-Edison,2,4811,2405.5000
"Curtis Bay",2,5860,2930.0000
Brooklyn,2,5860,2930.0000
"Fells Point",2,2452,1226.0000
"Morrell Park",3,3160,1053.3333
Sandtown-Winchester,15,5085,339.0000
"Harlem Park",9,5085,565.0000
Lauraville,1,891,891.0000
Barclay,4,3860,965.0000
"Charles Village",5,3860,772.0000
Arlington,4,2980,745.0000
"Howard Park",8,2980,372.5000
"West Arlington",5,2980,596.0000
Rosemont,2,1051,525.5000
Guilford,3,1145,381.6667
Homeland,3,1145,381.6667
Upton,12,3682,306.8333
"Druid Heights",5,3682,736.4000
Poppleton,8,1218,152.2500
"Hollins Market",2,1218,609.0000
Mondawmin,4,2276,569.0000
Glen,10,2046,204.6000
Fallstaff,1,2046,2046.0000
Canton,5,3570,714.0000
"Roland Park",3,597,199.0000
"Cherry Hill",3,3075,1025.0000
"West Hills",3,1352,450.6667
"Ten Hills",1,1352,1352.0000
Walbrook,12,1430,119.1667
"Forest Park",1,1430,1430.0000
"Washington Village",4,2618,654.5000
Arlington,4,925,231.2500
Dorchester,2,609,304.5000
Ashburton,3,609,203.0000
"Reservoir Hill",7,3452,493.1429
"Penn North",3,3452,1150.6667
Remington,3,3727,1242.3333
Hampden,2,3727,1863.5000
"Middle East",10,3084,308.4000
Oldtown,5,3084,616.8000
Cheswolde,4,599,149.7500
Berea,8,1179,147.3750
"Mount Winans",3,2399,799.6667
Highlandtown,3,351,117.0000
