Name,Longitude,Latitude
Cedonia/Frankford,-76.53096041,39.34051685
Edmondson Village,-76.68382044,39.29440421
Downtown/Seton Hill,-76.61355373,39.28782128
Inner Harbor/Federal Hill,-76.61308293,39.28508598
Downtown/Seton Hill,-76.60700328,39.28839884
Allendale/Irvington/S. Hilton,-76.68902834,39.28164781
Belair-Edison,-76.56538196,39.32809769
Downtown/Seton Hill,-76.61652485,39.29024515
Brooklyn/Curtis Bay/Hawkins Point,-76.58825875,39.22381647
Fells Point,-76.5931337,39.28361012
Fells Point,-76.59441014,39.29754552
Fells Point,-76.59355474,39.2834631
Belair-Edison,-76.56267389,39.32799545
Cedonia/Frankford,-76.53253296,39.33357334
Cedonia/Frankford,-76.53253296,39.33357334
Downtown/Seton Hill,-76.61283047,39.28893912
Morrell Park/Violetville,-76.6511998,39.26516091
Sandtown-Winchester/Harlem Park,-76.64579709,39.29650817
Lauraville,-76.57694484,39.34797909
Greater Charles Village/Barclay,-76.6142496,39.31956284
Loch Raven,-76.58588467,39.36012287
Morrell Park/Violetville,-76.65214523,39.26688118
Brooklyn/Curtis Bay/Hawkins Point,-76.60640035,39.2388236
Brooklyn/Curtis Bay/Hawkins Point,-76.59824229,39.22748776
Howard Park/West Arlington,-76.7004691,39.33601778
Greater Rosemont,-76.67074698,39.30179976
Greater Rosemont,-76.67074698,39.30179976
North Baltimore/Guilford/Homeland,-76.6119441,39.35436847
Edmondson Village,-76.68140315,39.29880487
Upton/Druid Heights,-76.62575308,39.30138944
Inner Harbor/Federal Hill,-76.61206788,39.28664151
Poppleton/The Terraces/Hollins Market,-76.63668238,39.28867808
Greater Mondawmin,-76.65050279,39.30956511
Downtown/Seton Hill,-76.62258039,39.2930872
Glen-Fallstaff,-76.70411545,39.36579033
Inner Harbor/Federal Hill,-76.62079537,39.28619109
Glen-Fallstaff,-76.70237088,39.36026678
Canton,-76.56738726,39.27698228
Allendale/Irvington/S. Hilton,-76.67535462,39.29000483
